"site","observers","date","start_time","weather","past_12_hours","site_notes","probe_depth","soil_temp_plot1","vwc_plot1","plot_1_period","soil_temp_plot2","vwc_plot2","plot_2_period","soil_temp_plot3","vwc_plot3","plot_3_period","soil_temp_plot4","vwc_plot4","plot_4_period","soil_temp_plot5","vwc_plot5","plot_5_period","soil_temp_plot6","vwc_plot6","plot_6_period"
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",12,11.1,115,1.36,12.6,66,1.16,10,38,1.02,8.9,24,0.94,10.1,36,1.01,11.2,32,0.99
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",20,11.1,25,1.05,12.6,35,1.13,10,39,1.17,8.9,27,1.06,10.1,22,1.02,11.2,23,1.03
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",20,11.1,73,1.42,12.6,43,1.2,10,43,1.2,8.9,24,1.04,10.1,26,1.05,11.2,37,1.15
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",20,11.1,87,1.52,12.6,39,1.17,10,41,1.19,8.9,26,1.06,10.1,25,1.05,11.2,19,0.99
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",20,11.1,66,1.38,12.6,49,1.25,10,36,1.14,8.9,22,1.01,10.1,38,1.16,11.2,27,1.06
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",20,11.1,71,1.41,12.6,42,1.19,10,39,1.17,8.9,30,1.09,10.1,37,1.15,11.2,46,1.22
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",6,9.4,13,0.87,6.2,8,0.83,9.8,1,0.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",6,9.4,38,1.02,6.2,8,0.83,9.8,9,0.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",6,9.4,5,0.81,6.2,9,0.84,9.8,13,0.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",6,9.4,3,0.79,6.2,18,0.9,9.8,2,0.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",6,9.4,4,0.81,6.2,8,0.83,9.8,22,0.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",12,9.4,11,0.85,6.2,11,0.86,9.8,25,0.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",12,9.4,4,0.8,6.2,14,0.88,9.8,24,0.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",12,9.4,24,0.94,6.2,16,0.89,9.8,20,0.92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",12,9.4,40,1.03,6.2,8,0.84,9.8,6,0.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",12,9.4,26,0.95,6.2,18,0.9,9.8,12,0.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",20,9.4,34,1.13,6.2,31,1.1,9.8,22,1.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",20,9.4,37,1.15,6.2,21,1.01,9.8,22,1.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",20,9.4,36,1.14,6.2,27,1.06,9.8,26,1.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",20,9.4,30,1.09,6.2,29,1.08,9.8,28,1.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-40","HS, LBC, DU",2019-08-15,"11:40","Overcast","overcast","",20,9.4,36,1.14,6.2,21,1.01,9.8,28,1.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",6,5.8,7,0.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",6,5.8,5,0.81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",6,5.8,3,0.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",6,5.8,2,0.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",6,5.8,12,0.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",12,5.8,16,0.39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",12,5.8,17,0.39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",12,5.8,24,0.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",12,5.8,15,0.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",12,5.8,4,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",20,5.8,32,1.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",20,5.8,21,1.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",20,5.8,15,0.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",20,5.8,17,0.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-41","HS, LBC, DU",2019-08-15,"13:13","mostly cloudy","overcast","Bear at site",20,5.8,20,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",6,10.2,6,0.82,9.4,4,0.8,13.2,3,0.8,10.6,7,0.82,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",6,10.2,8,0.84,9.4,8,0.83,13.2,3,0.8,10.6,4,0.8,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",6,10.2,6,0.82,9.4,11,0.85,13.2,6,0.82,10.6,1,0.77,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",6,10.2,8,0.83,9.4,15,0.89,13.2,8,0.83,10.6,1,0.78,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",6,10.2,10,0.85,9.4,15,0.88,13.2,4,0.8,10.6,2,0.78,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",12,10.2,12,0.86,9.4,29,0.97,13.2,11,0.86,10.6,4,0.8,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",12,10.2,7,0.83,9.4,39,1.03,13.2,12,0.86,10.6,3,0.8,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",12,10.2,10,0.85,9.4,28,0.97,13.2,5,0.81,10.6,0,0.77,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",12,10.2,12,0.86,9.4,28,0.97,13.2,10,0.85,10.6,6,0.82,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",12,10.2,26,0.95,9.4,16,0.89,13.2,10,0.85,10.6,6,0.82,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",20,10.2,16,0.96,9.4,34,1.12,13.2,13,0.93,10.6,10,0.9,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",20,10.2,11,0.91,9.4,31,1.1,13.2,20,1,10.6,16,0.96,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",20,10.2,33,1.12,9.4,42,1.19,13.2,22,1.01,10.6,14,0.94,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",20,10.2,40,1.17,9.4,33,1.12,13.2,20,1,10.6,22,1.02,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-40","LBC, HS, DU",2019-08-15,"14:45","overcast","overcast","",20,10.2,42,1.2,9.4,34,1.12,13.2,18,0.98,10.6,11,0.91,-9999,-9999,-9999,-9999,-9999,-9999
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",6,11.3,10,0.85,11.7,26,0.96,12.3,16,0.89,11.4,17,0.9,11.6,16,0.89,11.6,10,0.85
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",6,11.3,24,0.94,11.7,47,1.07,12.3,16,0.89,11.4,12,0.86,11.6,17,0.9,11.6,8,0.84
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",6,11.3,26,0.95,11.7,30,0.98,12.3,12,0.86,11.4,8,0.84,11.6,12,0.86,11.6,12,0.86
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",6,11.3,21,0.93,11.7,17,0.9,12.3,13,0.87,11.4,16,0.89,11.6,13,0.87,11.6,26,0.95
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",6,11.3,8,0.84,11.7,16,0.89,12.3,12,0.86,11.4,9,0.84,11.6,12,0.86,11.6,18,0.9
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",12,11.3,47,1.07,11.7,42,1.04,12.3,26,0.95,11.4,22,0.93,11.6,28,0.97,11.6,19,0.91
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",12,11.3,43,1.05,11.7,21,0.92,12.3,19,0.91,11.4,24,0.94,11.6,30,0.98,11.6,34,1
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",12,11.3,41,1.04,11.7,36,1.01,12.3,31,0.98,11.4,15,0.89,11.6,27,0.96,11.6,40,1.03
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",12,11.3,56,1.12,11.7,44,1.05,12.3,22,0.93,11.4,16,0.89,11.6,21,0.92,11.6,44,1.06
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",12,11.3,18,0.91,11.7,59,1.13,12.3,16,0.89,11.4,14,0.88,11.6,25,0.95,11.6,30,0.98
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",20,11.3,35,1.14,11.7,51,1.26,12.3,35,1.13,11.4,34,1.13,11.6,43,1.2,11.6,48,1.24
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",20,11.3,51,1.26,11.7,33,1.12,12.3,32,1.11,11.4,26,1.05,11.6,41,1.18,11.6,51,1.26
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",20,11.3,42,1.19,11.7,28,1.07,12.3,36,1.14,11.4,27,1.06,11.6,24,1.03,11.6,30,1.09
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",20,11.3,31,1.1,11.7,19,0.99,12.3,24,1.04,11.4,19,0.99,11.6,32,1.11,11.6,25,1.05
"ZF20-10","PS",2019-08-15,"12:30","Cloudy","Rain yesterday","",20,11.3,31,1.1,11.7,38,1.16,12.3,15,0.95,11.4,41,1.19,11.6,34,1.13,11.6,31,1.1
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",6,13,13,0.87,12.4,7,0.82,12.2,6,0.82,-9999,-9999,-9999,13.7,6,0.82,14.5,9,0.84
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",6,13,12,0.86,12.4,7,0.83,12.2,5,0.81,-9999,-9999,-9999,13.7,7,0.82,14.5,10,0.85
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",6,13,10,0.85,12.4,4,0.8,12.2,21,0.92,-9999,-9999,-9999,13.7,9,0.84,14.5,9,0.84
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",6,13,8,0.84,12.4,11,0.85,12.2,13,0.87,-9999,-9999,-9999,13.7,8,0.83,14.5,10,0.85
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",6,13,14,0.88,12.4,8,0.83,12.2,9,0.84,-9999,-9999,-9999,13.7,6,0.82,14.5,9,0.84
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",12,13,12,0.86,12.4,12,0.86,12.2,22,0.93,-9999,-9999,-9999,13.7,8,0.83,14.5,10,0.85
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",12,13,9,0.84,12.4,10,0.85,12.2,22,0.93,-9999,-9999,-9999,13.7,7,0.82,14.5,9,0.84
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",12,13,15,0.88,12.4,10,0.85,12.2,18,0.9,-9999,-9999,-9999,13.7,8,0.83,14.5,10,0.85
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",12,13,14,0.87,12.4,9,0.84,12.2,10,0.84,-9999,-9999,-9999,13.7,7,0.82,14.5,9,0.84
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",12,13,10,0.85,12.4,11,0.85,12.2,20,0.91,-9999,-9999,-9999,13.7,9,0.84,14.5,10,0.85
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 1 too rocky; Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",20,13,-9999,-9999,12.4,12,0.92,12.2,13,0.93,-9999,-9999,-9999,13.7,4,0.84,14.5,9,0.88
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",20,13,-9999,-9999,12.4,8,0.88,12.2,8,0.88,-9999,-9999,-9999,13.7,4,0.84,14.5,9,0.89
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",20,13,-9999,-9999,12.4,5,0.85,12.2,11,0.91,-9999,-9999,-9999,13.7,6,0.85,14.5,8,0.87
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",20,13,-9999,-9999,12.4,13,0.93,12.2,18,0.98,-9999,-9999,-9999,13.7,4,0.84,14.5,9,0.88
"SS50-120","MB",2019-08-16,"15:35","Partly Cloudy","partly cloudy","Plot 4 = no flag; Rocky on transect 1, sandy on transect 2. Upland, mostly jackpine or black spruce, very thin organic, near road",20,13,-9999,-9999,12.4,7,0.87,12.2,13,0.93,-9999,-9999,-9999,13.7,4,0.84,14.5,8,0.87
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",6,7.5,20,0.92,8.2,12,0.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",6,7.5,18,0.9,8.2,2,0.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",6,7.5,7,0.82,8.2,16,0.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",6,7.5,3,0.79,8.2,28,0.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",6,7.5,3,0.79,8.2,8,0.83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",12,7.5,3,0.79,8.2,25,0.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",12,7.5,4,0.8,8.2,36,1.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",12,7.5,7,0.82,8.2,24,0.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",12,7.5,36,1.01,8.2,21,0.92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",12,7.5,49,1.08,8.2,12,0.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",20,7.5,52,1.27,8.2,22,1.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",20,7.5,55,1.29,8.2,35,1.13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",20,7.5,22,1.02,8.2,37,1.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",20,7.5,18,0.98,8.2,37,1.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-1","LBC, HS, DU",2019-08-16,"15:15","Overcast","overcast","",20,7.5,4,0.83,8.2,34,1.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",6,5.1,12,0.86,7.1,5,0.81,8.2,7,0.83,6.9,9,0.84,7.4,5,0.81,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",6,5.1,9,0.84,7.1,11,0.86,8.2,3,0.8,6.9,34,1,7.4,11,0.85,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",6,5.1,30,0.98,7.1,9,0.84,8.2,9,0.84,6.9,32,0.99,7.4,8,0.84,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",6,5.1,10,0.85,7.1,27,0.96,8.2,6,0.81,6.9,55,1.11,7.4,24,0.94,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",6,5.1,24,0.94,7.1,9,0.84,8.2,3,0.79,6.9,20,0.92,7.4,9,0.84,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",12,5.1,39,1.03,7.1,15,0.88,8.2,21,0.92,6.9,15,0.88,7.4,13,0.87,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",12,5.1,14,0.87,7.1,18,0.9,8.2,18,0.9,6.9,33,1,7.4,27,0.96,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",12,5.1,30,0.98,7.1,32,0.99,8.2,13,0.87,6.9,30,0.98,7.4,19,0.91,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",12,5.1,23,0.94,7.1,24,0.94,8.2,14,0.87,6.9,82,1.23,7.4,41,1.04,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",12,5.1,26,0.95,7.1,28,0.97,8.2,21,0.92,6.9,32,0.99,7.4,46,1.07,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",20,5.1,55,1.29,7.1,30,1.09,8.2,27,1.07,6.9,52,1.27,7.4,31,1.1,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",20,5.1,32,1.11,7.1,28,1.07,8.2,31,1.1,6.9,51,1.26,7.4,35,1.13,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",20,5.1,45,1.21,7.1,31,1.1,8.2,35,1.13,6.9,52,1.27,7.4,44,1.21,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",20,5.1,30,1.09,7.1,32,1.11,8.2,29,1.08,6.9,76,1.45,7.4,47,1.24,-9999,-9999,-9999
"ZF17-100","LBC, HS, DU",2019-08-16,"9:57","Sunny 50 F (Partly cloudy)","overcast","trout lake",20,5.1,31,1.1,7.1,27,1.06,8.2,33,1.12,6.9,56,1.3,7.4,36,1.14,-9999,-9999,-9999
"ZF17-101","LBC, HS, DU",2019-08-16,"13:40","Overcast","mostly cloudy","",6,6.7,1,0.78,6.9,52,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-101","LBC, HS, DU",2019-08-16,"13:40","Overcast","mostly cloudy","",6,6.7,5,0.81,6.9,78,1.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-101","LBC, HS, DU",2019-08-16,"13:40","Overcast","mostly cloudy","",6,6.7,20,0.91,6.9,99,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-101","LBC, HS, DU",2019-08-16,"13:40","Overcast","mostly cloudy","",6,6.7,31,0.98,6.9,15,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-101","LBC, HS, DU",2019-08-16,"13:40","Overcast","mostly cloudy","",6,6.7,7,0.83,6.9,21,0.92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-101","LBC, HS, DU",2019-08-16,"13:40","Overcast","mostly cloudy","",12,6.7,11,0.85,6.9,25,0.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"ZF17-101","LBC, HS, DU",2019-08-16,"13:40","Overcast","mostly cloudy","",12,6.7,60,1.13,6.9,37,1.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
